untagged_sentence,tagged_sentence
"['Implementation', 'of', ""Georgia's"", 'automobile', 'title', 'law', 'was', 'also', 'recommended', 'by', 'the', 'outgoing', 'jury', '.']","[('Implementation', 'NN'), ('of', 'IN'), (""Georgia's"", 'NP'), ('automobile', 'NN'), ('title', 'NN'), ('law', 'NN'), ('was', 'BE'), ('also', 'RB'), ('recommended', 'VB'), ('by', 'IN'), ('the', 'AT'), ('outgoing', 'JJ'), ('jury', 'NN'), ('.', '.')]"
"['It', 'urged', 'that', 'the', 'next', 'Legislature', '``', 'provide', 'enabling', 'funds', 'and', 're-set', 'the', 'effective', 'date', 'so', 'that', 'an', 'orderly', 'implementation', 'of', 'the', 'law', 'may', 'be', 'effected', ""''"", '.']","[('It', 'PP'), ('urged', 'VB'), ('that', 'CS'), ('the', 'AT'), ('next', 'AP'), ('Legislature', 'NN'), ('``', '``'), ('provide', 'VB'), ('enabling', 'VB'), ('funds', 'NN'), ('and', 'CC'), ('re-set', 'VB'), ('the', 'AT'), ('effective', 'JJ'), ('date', 'NN'), ('so', 'CS'), ('that', 'CS'), ('an', 'AT'), ('orderly', 'JJ'), ('implementation', 'NN'), ('of', 'IN'), ('the', 'AT'), ('law', 'NN'), ('may', 'MD'), ('be', 'BE'), ('effected', 'VB'), (""''"", ""''""), ('.', '.')]"
"['The', 'grand', 'jury', 'took', 'a', 'swipe', 'at', 'the', 'State', 'Welfare', ""Department's"", 'handling', 'of', 'federal', 'funds', 'granted', 'for', 'child', 'welfare', 'services', 'in', 'foster', 'homes', '.']","[('The', 'AT'), ('grand', 'JJ'), ('jury', 'NN'), ('took', 'VB'), ('a', 'AT'), ('swipe', 'NN'), ('at', 'IN'), ('the', 'AT'), ('State', 'NN'), ('Welfare', 'NN'), (""Department's"", 'NN'), ('handling', 'NN'), ('of', 'IN'), ('federal', 'JJ'), ('funds', 'NN'), ('granted', 'VB'), ('for', 'IN'), ('child', 'NN'), ('welfare', 'NN'), ('services', 'NN'), ('in', 'IN'), ('foster', 'JJ'), ('homes', 'NN'), ('.', '.')]"
"['``', 'This', 'is', 'one', 'of', 'the', 'major', 'items', 'in', 'the', 'Fulton', 'County', 'general', 'assistance', 'program', ""''"", ',', 'the', 'jury', 'said', ',', 'but', 'the', 'State', 'Welfare', 'Department', '``', 'has', 'seen', 'fit', 'to', 'distribute', 'these', 'funds', 'through', 'the', 'welfare', 'departments', 'of', 'all', 'the', 'counties', 'in', 'the', 'state', 'with', 'the', 'exception', 'of', 'Fulton', 'County', ',', 'which', 'receives', 'none', 'of', 'this', 'money', '.']","[('``', '``'), ('This', 'DT'), ('is', 'BE'), ('one', 'CD'), ('of', 'IN'), ('the', 'AT'), ('major', 'JJ'), ('items', 'NN'), ('in', 'IN'), ('the', 'AT'), ('Fulton', 'NP'), ('County', 'NN'), ('general', 'JJ'), ('assistance', 'NN'), ('program', 'NN'), (""''"", ""''""), (',', ','), ('the', 'AT'), ('jury', 'NN'), ('said', 'VB'), (',', ','), ('but', 'CC'), ('the', 'AT'), ('State', 'NN'), ('Welfare', 'NN'), ('Department', 'NN'), ('``', '``'), ('has', 'HV'), ('seen', 'VB'), ('fit', 'JJ'), ('to', 'TO'), ('distribute', 'VB'), ('these', 'DT'), ('funds', 'NN'), ('through', 'IN'), ('the', 'AT'), ('welfare', 'NN'), ('departments', 'NN'), ('of', 'IN'), ('all', 'AB'), ('the', 'AT'), ('counties', 'NN'), ('in', 'IN'), ('the', 'AT'), ('state', 'NN'), ('with', 'IN'), ('the', 'AT'), ('exception', 'NN'), ('of', 'IN'), ('Fulton', 'NP'), ('County', 'NN'), (',', ','), ('which', 'WD'), ('receives', 'VB'), ('none', 'PN'), ('of', 'IN'), ('this', 'DT'), ('money', 'NN'), ('.', '.')]"
"['Nevertheless', ',', '``', 'we', 'feel', 'that', 'in', 'the', 'future', 'Fulton', 'County', 'should', 'receive', 'some', 'portion', 'of', 'these', 'available', 'funds', ""''"", ',', 'the', 'jurors', 'said', '.']","[('Nevertheless', 'RB'), (',', ','), ('``', '``'), ('we', 'PP'), ('feel', 'VB'), ('that', 'CS'), ('in', 'IN'), ('the', 'AT'), ('future', 'NN'), ('Fulton', 'NP'), ('County', 'NN'), ('should', 'MD'), ('receive', 'VB'), ('some', 'DT'), ('portion', 'NN'), ('of', 'IN'), ('these', 'DT'), ('available', 'JJ'), ('funds', 'NN'), (""''"", ""''""), (',', ','), ('the', 'AT'), ('jurors', 'NN'), ('said', 'VB'), ('.', '.')]"
"['``', 'Failure', 'to', 'do', 'this', 'will', 'continue', 'to', 'place', 'a', 'disproportionate', 'burden', ""''"", 'on', 'Fulton', 'taxpayers', '.']","[('``', '``'), ('Failure', 'NN'), ('to', 'TO'), ('do', 'DO'), ('this', 'DT'), ('will', 'MD'), ('continue', 'VB'), ('to', 'TO'), ('place', 'VB'), ('a', 'AT'), ('disproportionate', 'JJ'), ('burden', 'NN'), (""''"", ""''""), ('on', 'IN'), ('Fulton', 'NP'), ('taxpayers', 'NN'), ('.', '.')]"
"['Wards', 'protected']","[('Wards', 'NN'), ('protected', 'VB')]"
"['The', 'jury', 'said', 'it', 'found', 'the', 'court', '``', 'has', 'incorporated', 'into', 'its', 'operating', 'procedures', 'the', 'recommendations', ""''"", 'of', 'two', 'previous', 'grand', 'juries', ',', 'the', 'Atlanta', 'Bar', 'Association', 'and', 'an', 'interim', 'citizens', 'committee', '.']","[('The', 'AT'), ('jury', 'NN'), ('said', 'VB'), ('it', 'PP'), ('found', 'VB'), ('the', 'AT'), ('court', 'NN'), ('``', '``'), ('has', 'HV'), ('incorporated', 'VB'), ('into', 'IN'), ('its', 'PP'), ('operating', 'VB'), ('procedures', 'NN'), ('the', 'AT'), ('recommendations', 'NN'), (""''"", ""''""), ('of', 'IN'), ('two', 'CD'), ('previous', 'JJ'), ('grand', 'JJ'), ('juries', 'NN'), (',', ','), ('the', 'AT'), ('Atlanta', 'NP'), ('Bar', 'NN'), ('Association', 'NN'), ('and', 'CC'), ('an', 'AT'), ('interim', 'NN'), ('citizens', 'NN'), ('committee', 'NN'), ('.', '.')]"
"['``', 'These', 'actions', 'should', 'serve', 'to', 'protect', 'in', 'fact', 'and', 'in', 'effect', 'the', ""court's"", 'wards', 'from', 'undue', 'costs', 'and', 'its', 'appointed', 'and', 'elected', 'servants', 'from', 'unmeritorious', 'criticisms', ""''"", ',', 'the', 'jury', 'said', '.']","[('``', '``'), ('These', 'DT'), ('actions', 'NN'), ('should', 'MD'), ('serve', 'VB'), ('to', 'TO'), ('protect', 'VB'), ('in', 'IN'), ('fact', 'NN'), ('and', 'CC'), ('in', 'IN'), ('effect', 'NN'), ('the', 'AT'), (""court's"", 'NN'), ('wards', 'NN'), ('from', 'IN'), ('undue', 'JJ'), ('costs', 'NN'), ('and', 'CC'), ('its', 'PP'), ('appointed', 'VB'), ('and', 'CC'), ('elected', 'VB'), ('servants', 'NN'), ('from', 'IN'), ('unmeritorious', 'JJ'), ('criticisms', 'NN'), (""''"", ""''""), (',', ','), ('the', 'AT'), ('jury', 'NN'), ('said', 'VB'), ('.', '.')]"
"['Regarding', ""Atlanta's"", 'new', 'multi-million-dollar', 'airport', ',', 'the', 'jury', 'recommended', '``', 'that', 'when', 'the', 'new', 'management', 'takes', 'charge', 'Jan.', '1', 'the', 'airport', 'be', 'operated', 'in', 'a', 'manner', 'that', 'will', 'eliminate', 'political', 'influences', ""''"", '.']","[('Regarding', 'IN'), (""Atlanta's"", 'NP'), ('new', 'JJ'), ('multi-million-dollar', 'JJ'), ('airport', 'NN'), (',', ','), ('the', 'AT'), ('jury', 'NN'), ('recommended', 'VB'), ('``', '``'), ('that', 'CS'), ('when', 'WR'), ('the', 'AT'), ('new', 'JJ'), ('management', 'NN'), ('takes', 'VB'), ('charge', 'NN'), ('Jan.', 'NP'), ('1', 'CD'), ('the', 'AT'), ('airport', 'NN'), ('be', 'BE'), ('operated', 'VB'), ('in', 'IN'), ('a', 'AT'), ('manner', 'NN'), ('that', 'WP'), ('will', 'MD'), ('eliminate', 'VB'), ('political', 'JJ'), ('influences', 'NN'), (""''"", ""''""), ('.', '.')]"
"['The', 'jury', 'did', 'not', 'elaborate', ',', 'but', 'it', 'added', 'that', '``', 'there', 'should', 'be', 'periodic', 'surveillance', 'of', 'the', 'pricing', 'practices', 'of', 'the', 'concessionaires', 'for', 'the', 'purpose', 'of', 'keeping', 'the', 'prices', 'reasonable', ""''"", '.']","[('The', 'AT'), ('jury', 'NN'), ('did', 'DO'), ('not', '*'), ('elaborate', 'VB'), (',', ','), ('but', 'CC'), ('it', 'PP'), ('added', 'VB'), ('that', 'CS'), ('``', '``'), ('there', 'EX'), ('should', 'MD'), ('be', 'BE'), ('periodic', 'JJ'), ('surveillance', 'NN'), ('of', 'IN'), ('the', 'AT'), ('pricing', 'VB'), ('practices', 'NN'), ('of', 'IN'), ('the', 'AT'), ('concessionaires', 'NN'), ('for', 'IN'), ('the', 'AT'), ('purpose', 'NN'), ('of', 'IN'), ('keeping', 'VB'), ('the', 'AT'), ('prices', 'NN'), ('reasonable', 'JJ'), (""''"", ""''""), ('.', '.')]"
"['Ask', 'jail', 'deputies']","[('Ask', 'VB'), ('jail', 'NN'), ('deputies', 'NN')]"
"['On', 'other', 'matters', ',', 'the', 'jury', 'recommended', 'that', ':', '(', '1', ')']","[('On', 'IN'), ('other', 'AP'), ('matters', 'NN'), (',', ','), ('the', 'AT'), ('jury', 'NN'), ('recommended', 'VB'), ('that', 'CS'), (':', ':'), ('(', '('), ('1', 'CD'), (')', ')')]"
